,Company_Name,Ratings,Rating_Count,Salary,Interview,Jobs
5271,HDFC Bank,3.8,51.1k,1.5L,3k,330
5272,TCS,3.3,1.1L,9.8L,11.9k,2.7k
5273,Accenture,3.7,71.9k,6.5L,9.2k,37.9k
5274,Wipro,3.6,63.8k,4.8L,6.7k,5.6k
5275,Cognizant,3.6,60.2k,6L,6.3k,624
5276,Capgemini,3.7,51.8k,4.8L,5.5k,2.1k
5277,HDFC Bank,3.8,51.1k,1.5L,3k,330
5278,Infosys,3.5,47.7k,5.2L,8.4k,2.5k
5279,TCS,3.3,1.1L,9.8L,11.9k,2.7k
5280,Accenture,3.7,71.9k,6.5L,9.2k,37.9k
5281,Wipro,3.6,63.8k,4.8L,6.7k,5.6k
5282,Cognizant,3.6,60.2k,6L,6.3k,624
5283,Capgemini,3.7,51.8k,4.8L,5.5k,2.1k
5284,HDFC Bank,3.8,51.1k,1.5L,3k,330
5285,Infosys,3.5,47.7k,5.2L,8.4k,2.5k
5286,ICICI Bank,4.0,45.2k,1.5L,2.9k,15
5287,TCS,3.3,1.1L,9.8L,11.9k,2.7k
5288,Accenture,3.7,71.9k,6.5L,9.2k,37.9k
5289,Wipro,3.6,63.8k,4.8L,6.7k,5.6k
5290,Cognizant,3.6,60.2k,6L,6.3k,624
5291,Capgemini,3.7,51.8k,4.8L,5.5k,2.1k
5292,HDFC Bank,3.8,51.1k,1.5L,3k,330
5293,Infosys,3.5,47.7k,5.2L,8.4k,2.5k
5294,ICICI Bank,4.0,45.2k,1.5L,2.9k,15
5295,HCLTech,3.4,44.8k,3.8L,4.5k,284
5296,TCS,3.3,1.1L,9.8L,11.9k,2.7k
5297,Accenture,3.7,71.9k,6.5L,9.2k,37.9k
5298,Wipro,3.6,63.8k,4.8L,6.7k,5.6k
5299,Cognizant,3.6,60.2k,6L,6.3k,624
5300,Capgemini,3.7,51.8k,4.8L,5.5k,2.1k
5301,HDFC Bank,3.8,51.1k,1.5L,3k,330
5302,Infosys,3.5,47.7k,5.2L,8.4k,2.5k
5303,ICICI Bank,4.0,45.2k,1.5L,2.9k,15
5304,HCLTech,3.4,44.8k,3.8L,4.5k,284
5305,Tech Mahindra,3.4,42.6k,2.8L,4.5k,639
5306,TCS,3.3,1.1L,9.8L,11.9k,2.7k
5307,Accenture,3.7,71.9k,6.5L,9.2k,37.9k
5308,Wipro,3.6,63.8k,4.8L,6.7k,5.6k
5309,Cognizant,3.6,60.2k,6L,6.3k,624
5310,Capgemini,3.7,51.8k,4.8L,5.5k,2.1k
5311,HDFC Bank,3.8,51.1k,1.5L,3k,330
5312,Infosys,3.5,47.7k,5.2L,8.4k,2.5k
5313,ICICI Bank,4.0,45.2k,1.5L,2.9k,15
5314,HCLTech,3.4,44.8k,3.8L,4.5k,284
5315,Tech Mahindra,3.4,42.6k,2.8L,4.5k,639
5316,Genpact,3.6,41.2k,2.3L,3.8k,1.2k
5317,TCS,3.3,1.1L,9.8L,11.9k,2.7k
5318,Accenture,3.7,71.9k,6.5L,9.2k,37.9k
5319,Wipro,3.6,63.8k,4.8L,6.7k,5.6k
5320,Cognizant,3.6,60.2k,6L,6.3k,624
5321,Capgemini,3.7,51.8k,4.8L,5.5k,2.1k
5322,HDFC Bank,3.8,51.1k,1.5L,3k,330
5323,Infosys,3.5,47.7k,5.2L,8.4k,2.5k
5324,ICICI Bank,4.0,45.2k,1.5L,2.9k,15
5325,HCLTech,3.4,44.8k,3.8L,4.5k,284
5326,Tech Mahindra,3.4,42.6k,2.8L,4.5k,639
5327,Genpact,3.6,41.2k,2.3L,3.8k,1.2k
5328,Teleperformance,3.8,37k,96.1k,2.2k,1.3k
5329,TCS,3.3,1.1L,9.8L,11.9k,2.7k
5330,Accenture,3.7,71.9k,6.5L,9.2k,37.9k
5331,Wipro,3.6,63.8k,4.8L,6.7k,5.6k
5332,Cognizant,3.6,60.2k,6L,6.3k,624
5333,Capgemini,3.7,51.8k,4.8L,5.5k,2.1k
5334,HDFC Bank,3.8,51.1k,1.5L,3k,330
5335,Infosys,3.5,47.7k,5.2L,8.4k,2.5k
5336,ICICI Bank,4.0,45.2k,1.5L,2.9k,15
5337,HCLTech,3.4,44.8k,3.8L,4.5k,284
5338,Tech Mahindra,3.4,42.6k,2.8L,4.5k,639
5339,Genpact,3.6,41.2k,2.3L,3.8k,1.2k
5340,Teleperformance,3.8,37k,96.1k,2.2k,1.3k
5341,Jio,4.4,33.1k,62.5k,4.1k,3
5342,TCS,3.3,1.1L,9.8L,11.9k,2.7k
5343,Accenture,3.7,71.9k,6.5L,9.2k,37.9k
5344,Wipro,3.6,63.8k,4.8L,6.7k,5.6k
5345,Cognizant,3.6,60.2k,6L,6.3k,624
5346,Capgemini,3.7,51.8k,4.8L,5.5k,2.1k
5347,HDFC Bank,3.8,51.1k,1.5L,3k,330
5348,Infosys,3.5,47.7k,5.2L,8.4k,2.5k
5349,ICICI Bank,4.0,45.2k,1.5L,2.9k,15
5350,HCLTech,3.4,44.8k,3.8L,4.5k,284
5351,Tech Mahindra,3.4,42.6k,2.8L,4.5k,639
5352,Genpact,3.6,41.2k,2.3L,3.8k,1.2k
5353,Teleperformance,3.8,37k,96.1k,2.2k,1.3k
5354,Jio,4.4,33.1k,62.5k,4.1k,3
5355,Axis Bank,3.6,32.5k,1L,1.9k,192
5356,TCS,3.3,1.1L,9.8L,11.9k,2.7k
5357,Accenture,3.7,71.9k,6.5L,9.2k,37.9k
5358,Wipro,3.6,63.8k,4.8L,6.7k,5.6k
5359,Cognizant,3.6,60.2k,6L,6.3k,624
5360,Capgemini,3.7,51.8k,4.8L,5.5k,2.1k
5361,HDFC Bank,3.8,51.1k,1.5L,3k,330
5362,Infosys,3.5,47.7k,5.2L,8.4k,2.5k
5363,ICICI Bank,4.0,45.2k,1.5L,2.9k,15
5364,HCLTech,3.4,44.8k,3.8L,4.5k,284
5365,Tech Mahindra,3.4,42.6k,2.8L,4.5k,639
5366,Genpact,3.6,41.2k,2.3L,3.8k,1.2k
5367,Teleperformance,3.8,37k,96.1k,2.2k,1.3k
5368,Jio,4.4,33.1k,62.5k,4.1k,3
5369,Axis Bank,3.6,32.5k,1L,1.9k,192
5370,Concentrix Corporation,3.6,31.6k,1.3L,2k,61
5371,TCS,3.3,1.1L,9.8L,11.9k,2.7k
5372,Accenture,3.7,71.9k,6.5L,9.2k,37.9k
5373,Wipro,3.6,63.8k,4.8L,6.7k,5.6k
5374,Cognizant,3.6,60.2k,6L,6.3k,624
5375,Capgemini,3.7,51.8k,4.8L,5.5k,2.1k
5376,HDFC Bank,3.8,51.1k,1.5L,3k,330
5377,Infosys,3.5,47.7k,5.2L,8.4k,2.5k
5378,ICICI Bank,4.0,45.2k,1.5L,2.9k,15
5379,HCLTech,3.4,44.8k,3.8L,4.5k,284
5380,Tech Mahindra,3.4,42.6k,2.8L,4.5k,639
5381,Genpact,3.6,41.2k,2.3L,3.8k,1.2k
5382,Teleperformance,3.8,37k,96.1k,2.2k,1.3k
5383,Jio,4.4,33.1k,62.5k,4.1k,3
5384,Axis Bank,3.6,32.5k,1L,1.9k,192
5385,Concentrix Corporation,3.6,31.6k,1.3L,2k,61
5386,Amazon,3.9,31k,1.5L,5.8k,1.9k
5387,TCS,3.3,1.1L,9.8L,11.9k,2.7k
5388,Accenture,3.7,71.9k,6.5L,9.2k,37.9k
5389,Wipro,3.6,63.8k,4.8L,6.7k,5.6k
5390,Cognizant,3.6,60.2k,6L,6.3k,624
5391,Capgemini,3.7,51.8k,4.8L,5.5k,2.1k
5392,HDFC Bank,3.8,51.1k,1.5L,3k,330
5393,Infosys,3.5,47.7k,5.2L,8.4k,2.5k
5394,ICICI Bank,4.0,45.2k,1.5L,2.9k,15
5395,HCLTech,3.4,44.8k,3.8L,4.5k,284
5396,Tech Mahindra,3.4,42.6k,2.8L,4.5k,639
5397,Genpact,3.6,41.2k,2.3L,3.8k,1.2k
5398,Teleperformance,3.8,37k,96.1k,2.2k,1.3k
5399,Jio,4.4,33.1k,62.5k,4.1k,3
5400,Axis Bank,3.6,32.5k,1L,1.9k,192
5401,Concentrix Corporation,3.6,31.6k,1.3L,2k,61
5402,Amazon,3.9,31k,1.5L,5.8k,1.9k
5403,iEnergizer,4.6,27.2k,24k,1.2k,94
5404,TCS,3.3,1.1L,9.8L,11.9k,2.7k
5405,Accenture,3.7,71.9k,6.5L,9.2k,37.9k
5406,Wipro,3.6,63.8k,4.8L,6.7k,5.6k
5407,Cognizant,3.6,60.2k,6L,6.3k,624
5408,Capgemini,3.7,51.8k,4.8L,5.5k,2.1k
5409,HDFC Bank,3.8,51.1k,1.5L,3k,330
5410,Infosys,3.5,47.7k,5.2L,8.4k,2.5k
5411,ICICI Bank,4.0,45.2k,1.5L,2.9k,15
5412,HCLTech,3.4,44.8k,3.8L,4.5k,284
5413,Tech Mahindra,3.4,42.6k,2.8L,4.5k,639
5414,Genpact,3.6,41.2k,2.3L,3.8k,1.2k
5415,Teleperformance,3.8,37k,96.1k,2.2k,1.3k
5416,Jio,4.4,33.1k,62.5k,4.1k,3
5417,Axis Bank,3.6,32.5k,1L,1.9k,192
5418,Concentrix Corporation,3.6,31.6k,1.3L,2k,61
5419,Amazon,3.9,31k,1.5L,5.8k,1.9k
5420,iEnergizer,4.6,27.2k,24k,1.2k,94
5421,Reliance Retail,3.9,27.1k,76.7k,1.9k,130
5422,TCS,3.3,1.1L,9.8L,11.9k,2.7k
5423,Accenture,3.7,71.9k,6.5L,9.2k,37.9k
5424,Wipro,3.6,63.8k,4.8L,6.7k,5.6k
5425,Cognizant,3.6,60.2k,6L,6.3k,624
5426,Capgemini,3.7,51.8k,4.8L,5.5k,2.1k
5427,HDFC Bank,3.8,51.1k,1.5L,3k,330
5428,Infosys,3.5,47.7k,5.2L,8.4k,2.5k
5429,ICICI Bank,4.0,45.2k,1.5L,2.9k,15
5430,HCLTech,3.4,44.8k,3.8L,4.5k,284
5431,Tech Mahindra,3.4,42.6k,2.8L,4.5k,639
5432,Genpact,3.6,41.2k,2.3L,3.8k,1.2k
5433,Teleperformance,3.8,37k,96.1k,2.2k,1.3k
5434,Jio,4.4,33.1k,62.5k,4.1k,3
5435,Axis Bank,3.6,32.5k,1L,1.9k,192
5436,Concentrix Corporation,3.6,31.6k,1.3L,2k,61
5437,Amazon,3.9,31k,1.5L,5.8k,1.9k
5438,iEnergizer,4.6,27.2k,24k,1.2k,94
5439,Reliance Retail,3.9,27.1k,76.7k,1.9k,130
5440,LTIMindtree,3.6,26k,1.9L,3.4k,548
5441,TCS,3.3,1.1L,9.8L,11.9k,2.7k
5442,Accenture,3.7,71.9k,6.5L,9.2k,37.9k
5443,Wipro,3.6,63.8k,4.8L,6.7k,5.6k
5444,Cognizant,3.6,60.2k,6L,6.3k,624
5445,Capgemini,3.7,51.8k,4.8L,5.5k,2.1k
5446,HDFC Bank,3.8,51.1k,1.5L,3k,330
5447,Infosys,3.5,47.7k,5.2L,8.4k,2.5k
5448,ICICI Bank,4.0,45.2k,1.5L,2.9k,15
5449,HCLTech,3.4,44.8k,3.8L,4.5k,284
5450,Tech Mahindra,3.4,42.6k,2.8L,4.5k,639
5451,Genpact,3.6,41.2k,2.3L,3.8k,1.2k
5452,Teleperformance,3.8,37k,96.1k,2.2k,1.3k
5453,Jio,4.4,33.1k,62.5k,4.1k,3
5454,Axis Bank,3.6,32.5k,1L,1.9k,192
5455,Concentrix Corporation,3.6,31.6k,1.3L,2k,61
5456,Amazon,3.9,31k,1.5L,5.8k,1.9k
5457,iEnergizer,4.6,27.2k,24k,1.2k,94
5458,Reliance Retail,3.9,27.1k,76.7k,1.9k,130
5459,LTIMindtree,3.6,26k,1.9L,3.4k,548
5460,IBM,3.9,25.4k,2.1L,2.6k,2k
5461,TCS,3.3,1.1L,9.8L,11.9k,2.7k
5462,TCS,3.3,1.1L,9.8L,11.9k,2.7k
5463,Accenture,3.7,71.9k,6.5L,9.2k,37.9k
5464,TCS,3.3,1.1L,9.8L,11.9k,2.7k
5465,Accenture,3.7,71.9k,6.5L,9.2k,37.9k
5466,Wipro,3.6,63.8k,4.8L,6.7k,5.6k
5467,TCS,3.3,1.1L,9.8L,11.9k,2.7k
5468,Accenture,3.7,71.9k,6.5L,9.2k,37.9k
5469,Wipro,3.6,63.8k,4.8L,6.7k,5.6k
5470,Cognizant,3.6,60.2k,6L,6.3k,624
5471,TCS,3.3,1.1L,9.8L,11.9k,2.7k
5472,Accenture,3.7,71.9k,6.5L,9.2k,37.9k
5473,Wipro,3.6,63.8k,4.8L,6.7k,5.6k
5474,Cognizant,3.6,60.2k,6L,6.3k,624
5475,Capgemini,3.7,51.8k,4.8L,5.5k,2.1k
5476,TCS,3.3,1.1L,9.8L,11.9k,2.7k
5477,Accenture,3.7,71.9k,6.5L,9.2k,37.9k
5478,Wipro,3.6,63.8k,4.8L,6.7k,5.6k
5479,Cognizant,3.6,60.2k,6L,6.3k,624
5480,Capgemini,3.7,51.8k,4.8L,5.5k,2.1k
