,Company_Name,Ratings,Rating_Count,Salary,Interview,Jobs
1,TCS,3.3,1.1L,9.8L,11.9k,2.7k
2,TCS,3.3,1.1L,9.8L,11.9k,2.7k
3,Accenture,3.7,71.9k,6.5L,9.2k,37.9k
4,TCS,3.3,1.1L,9.8L,11.9k,2.7k
5,Accenture,3.7,71.9k,6.5L,9.2k,37.9k
6,Wipro,3.6,63.8k,4.8L,6.7k,5.6k
7,TCS,3.3,1.1L,9.8L,11.9k,2.7k
8,Accenture,3.7,71.9k,6.5L,9.2k,37.9k
9,Wipro,3.6,63.8k,4.8L,6.7k,5.6k
10,Cognizant,3.6,60.2k,6L,6.3k,613
11,TCS,3.3,1.1L,9.8L,11.9k,2.7k
12,Accenture,3.7,71.9k,6.5L,9.2k,37.9k
13,Wipro,3.6,63.8k,4.8L,6.7k,5.6k
14,Cognizant,3.6,60.2k,6L,6.3k,613
15,Capgemini,3.7,51.8k,4.8L,5.5k,2.1k
16,TCS,3.3,1.1L,9.8L,11.9k,2.7k
17,Accenture,3.7,71.9k,6.5L,9.2k,37.9k
18,Wipro,3.6,63.8k,4.8L,6.7k,5.6k
19,Cognizant,3.6,60.2k,6L,6.3k,613
20,Capgemini,3.7,51.8k,4.8L,5.5k,2.1k
21,HDFC Bank,3.8,51.1k,1.5L,3k,331
22,TCS,3.3,1.1L,9.8L,11.9k,2.7k
23,Accenture,3.7,71.9k,6.5L,9.2k,37.9k
24,Wipro,3.6,63.8k,4.8L,6.7k,5.6k
25,Cognizant,3.6,60.2k,6L,6.3k,613
26,Capgemini,3.7,51.8k,4.8L,5.5k,2.1k
27,HDFC Bank,3.8,51.1k,1.5L,3k,331
28,Infosys,3.5,47.7k,5.2L,8.4k,2.5k
29,TCS,3.3,1.1L,9.8L,11.9k,2.7k
30,Accenture,3.7,71.9k,6.5L,9.2k,37.9k
31,Wipro,3.6,63.8k,4.8L,6.7k,5.6k
32,Cognizant,3.6,60.2k,6L,6.3k,613
33,Capgemini,3.7,51.8k,4.8L,5.5k,2.1k
34,HDFC Bank,3.8,51.1k,1.5L,3k,331
35,Infosys,3.5,47.7k,5.2L,8.4k,2.5k
36,ICICI Bank,4.0,45.2k,1.5L,2.9k,15
37,TCS,3.3,1.1L,9.8L,11.9k,2.7k
38,Accenture,3.7,71.9k,6.5L,9.2k,37.9k
39,Wipro,3.6,63.8k,4.8L,6.7k,5.6k
40,Cognizant,3.6,60.2k,6L,6.3k,613
41,Capgemini,3.7,51.8k,4.8L,5.5k,2.1k
42,HDFC Bank,3.8,51.1k,1.5L,3k,331
43,Infosys,3.5,47.7k,5.2L,8.4k,2.5k
44,ICICI Bank,4.0,45.2k,1.5L,2.9k,15
45,HCLTech,3.4,44.9k,3.8L,4.5k,289
46,TCS,3.3,1.1L,9.8L,11.9k,2.7k
47,Accenture,3.7,71.9k,6.5L,9.2k,37.9k
48,Wipro,3.6,63.8k,4.8L,6.7k,5.6k
49,Cognizant,3.6,60.2k,6L,6.3k,613
50,Capgemini,3.7,51.8k,4.8L,5.5k,2.1k
51,HDFC Bank,3.8,51.1k,1.5L,3k,331
52,Infosys,3.5,47.7k,5.2L,8.4k,2.5k
53,ICICI Bank,4.0,45.2k,1.5L,2.9k,15
54,HCLTech,3.4,44.9k,3.8L,4.5k,289
55,Tech Mahindra,3.4,42.6k,2.8L,4.5k,652
56,TCS,3.3,1.1L,9.8L,11.9k,2.7k
57,Accenture,3.7,71.9k,6.5L,9.2k,37.9k
58,Wipro,3.6,63.8k,4.8L,6.7k,5.6k
59,Cognizant,3.6,60.2k,6L,6.3k,613
60,Capgemini,3.7,51.8k,4.8L,5.5k,2.1k
61,HDFC Bank,3.8,51.1k,1.5L,3k,331
62,Infosys,3.5,47.7k,5.2L,8.4k,2.5k
63,ICICI Bank,4.0,45.2k,1.5L,2.9k,15
64,HCLTech,3.4,44.9k,3.8L,4.5k,289
65,Tech Mahindra,3.4,42.6k,2.8L,4.5k,652
66,Genpact,3.6,41.2k,2.3L,3.8k,1.2k
67,TCS,3.3,1.1L,9.8L,11.9k,2.7k
68,Accenture,3.7,71.9k,6.5L,9.2k,37.9k
69,Wipro,3.6,63.8k,4.8L,6.7k,5.6k
70,Cognizant,3.6,60.2k,6L,6.3k,613
71,Capgemini,3.7,51.8k,4.8L,5.5k,2.1k
72,HDFC Bank,3.8,51.1k,1.5L,3k,331
73,Infosys,3.5,47.7k,5.2L,8.4k,2.5k
74,ICICI Bank,4.0,45.2k,1.5L,2.9k,15
75,HCLTech,3.4,44.9k,3.8L,4.5k,289
76,Tech Mahindra,3.4,42.6k,2.8L,4.5k,652
77,Genpact,3.6,41.2k,2.3L,3.8k,1.2k
78,Teleperformance,3.8,37k,96.1k,2.2k,1.3k
79,TCS,3.3,1.1L,9.8L,11.9k,2.7k
80,Accenture,3.7,71.9k,6.5L,9.2k,37.9k
81,Wipro,3.6,63.8k,4.8L,6.7k,5.6k
82,Cognizant,3.6,60.2k,6L,6.3k,613
83,Capgemini,3.7,51.8k,4.8L,5.5k,2.1k
84,HDFC Bank,3.8,51.1k,1.5L,3k,331
85,Infosys,3.5,47.7k,5.2L,8.4k,2.5k
86,ICICI Bank,4.0,45.2k,1.5L,2.9k,15
87,HCLTech,3.4,44.9k,3.8L,4.5k,289
88,Tech Mahindra,3.4,42.6k,2.8L,4.5k,652
89,Genpact,3.6,41.2k,2.3L,3.8k,1.2k
90,Teleperformance,3.8,37k,96.1k,2.2k,1.3k
91,Jio,4.4,33.1k,62.5k,4.1k,2
92,TCS,3.3,1.1L,9.8L,11.9k,2.7k
93,Accenture,3.7,71.9k,6.5L,9.2k,37.9k
94,Wipro,3.6,63.8k,4.8L,6.7k,5.6k
95,Cognizant,3.6,60.2k,6L,6.3k,613
96,Capgemini,3.7,51.8k,4.8L,5.5k,2.1k
97,HDFC Bank,3.8,51.1k,1.5L,3k,331
98,Infosys,3.5,47.7k,5.2L,8.4k,2.5k
99,ICICI Bank,4.0,45.2k,1.5L,2.9k,15
100,HCLTech,3.4,44.9k,3.8L,4.5k,289
101,Tech Mahindra,3.4,42.6k,2.8L,4.5k,652
102,Genpact,3.6,41.2k,2.3L,3.8k,1.2k
103,Teleperformance,3.8,37k,96.1k,2.2k,1.3k
104,Jio,4.4,33.1k,62.5k,4.1k,2
105,Axis Bank,3.6,32.5k,1L,1.9k,194
106,TCS,3.3,1.1L,9.8L,11.9k,2.7k
107,Accenture,3.7,71.9k,6.5L,9.2k,37.9k
108,Wipro,3.6,63.8k,4.8L,6.7k,5.6k
109,Cognizant,3.6,60.2k,6L,6.3k,613
110,Capgemini,3.7,51.8k,4.8L,5.5k,2.1k
111,HDFC Bank,3.8,51.1k,1.5L,3k,331
112,Infosys,3.5,47.7k,5.2L,8.4k,2.5k
113,ICICI Bank,4.0,45.2k,1.5L,2.9k,15
114,HCLTech,3.4,44.9k,3.8L,4.5k,289
115,Tech Mahindra,3.4,42.6k,2.8L,4.5k,652
116,Genpact,3.6,41.2k,2.3L,3.8k,1.2k
117,Teleperformance,3.8,37k,96.1k,2.2k,1.3k
118,Jio,4.4,33.1k,62.5k,4.1k,2
119,Axis Bank,3.6,32.5k,1L,1.9k,194
120,Concentrix Corporation,3.6,31.6k,1.3L,2k,61
121,TCS,3.3,1.1L,9.8L,11.9k,2.7k
122,Accenture,3.7,71.9k,6.5L,9.2k,37.9k
123,Wipro,3.6,63.8k,4.8L,6.7k,5.6k
124,Cognizant,3.6,60.2k,6L,6.3k,613
125,Capgemini,3.7,51.8k,4.8L,5.5k,2.1k
126,HDFC Bank,3.8,51.1k,1.5L,3k,331
127,Infosys,3.5,47.7k,5.2L,8.4k,2.5k
128,ICICI Bank,4.0,45.2k,1.5L,2.9k,15
129,HCLTech,3.4,44.9k,3.8L,4.5k,289
130,Tech Mahindra,3.4,42.6k,2.8L,4.5k,652
131,Genpact,3.6,41.2k,2.3L,3.8k,1.2k
132,Teleperformance,3.8,37k,96.1k,2.2k,1.3k
133,Jio,4.4,33.1k,62.5k,4.1k,2
134,Axis Bank,3.6,32.5k,1L,1.9k,194
135,Concentrix Corporation,3.6,31.6k,1.3L,2k,61
136,Amazon,3.9,31k,1.5L,5.8k,1.9k
137,TCS,3.3,1.1L,9.8L,11.9k,2.7k
138,Accenture,3.7,71.9k,6.5L,9.2k,37.9k
139,Wipro,3.6,63.8k,4.8L,6.7k,5.6k
140,Cognizant,3.6,60.2k,6L,6.3k,613
141,Capgemini,3.7,51.8k,4.8L,5.5k,2.1k
142,HDFC Bank,3.8,51.1k,1.5L,3k,331
143,Infosys,3.5,47.7k,5.2L,8.4k,2.5k
144,ICICI Bank,4.0,45.2k,1.5L,2.9k,15
145,HCLTech,3.4,44.9k,3.8L,4.5k,289
146,Tech Mahindra,3.4,42.6k,2.8L,4.5k,652
147,Genpact,3.6,41.2k,2.3L,3.8k,1.2k
148,Teleperformance,3.8,37k,96.1k,2.2k,1.3k
149,Jio,4.4,33.1k,62.5k,4.1k,2
150,Axis Bank,3.6,32.5k,1L,1.9k,194
151,Concentrix Corporation,3.6,31.6k,1.3L,2k,61
152,Amazon,3.9,31k,1.5L,5.8k,1.9k
153,iEnergizer,4.6,27.2k,24k,1.2k,96
154,TCS,3.3,1.1L,9.8L,11.9k,2.7k
155,Accenture,3.7,71.9k,6.5L,9.2k,37.9k
156,Wipro,3.6,63.8k,4.8L,6.7k,5.6k
157,Cognizant,3.6,60.2k,6L,6.3k,613
158,Capgemini,3.7,51.8k,4.8L,5.5k,2.1k
159,HDFC Bank,3.8,51.1k,1.5L,3k,331
160,Infosys,3.5,47.7k,5.2L,8.4k,2.5k
161,ICICI Bank,4.0,45.2k,1.5L,2.9k,15
162,HCLTech,3.4,44.9k,3.8L,4.5k,289
163,Tech Mahindra,3.4,42.6k,2.8L,4.5k,652
164,Genpact,3.6,41.2k,2.3L,3.8k,1.2k
165,Teleperformance,3.8,37k,96.1k,2.2k,1.3k
166,Jio,4.4,33.1k,62.5k,4.1k,2
167,Axis Bank,3.6,32.5k,1L,1.9k,194
168,Concentrix Corporation,3.6,31.6k,1.3L,2k,61
169,Amazon,3.9,31k,1.5L,5.8k,1.9k
170,iEnergizer,4.6,27.2k,24k,1.2k,96
171,Reliance Retail,3.9,27.1k,76.7k,1.9k,129
172,TCS,3.3,1.1L,9.8L,11.9k,2.7k
173,Accenture,3.7,71.9k,6.5L,9.2k,37.9k
174,Wipro,3.6,63.8k,4.8L,6.7k,5.6k
175,Cognizant,3.6,60.2k,6L,6.3k,613
176,Capgemini,3.7,51.8k,4.8L,5.5k,2.1k
177,HDFC Bank,3.8,51.1k,1.5L,3k,331
178,Infosys,3.5,47.7k,5.2L,8.4k,2.5k
179,ICICI Bank,4.0,45.2k,1.5L,2.9k,15
180,HCLTech,3.4,44.9k,3.8L,4.5k,289
181,Tech Mahindra,3.4,42.6k,2.8L,4.5k,652
182,Genpact,3.6,41.2k,2.3L,3.8k,1.2k
183,Teleperformance,3.8,37k,96.1k,2.2k,1.3k
184,Jio,4.4,33.1k,62.5k,4.1k,2
185,Axis Bank,3.6,32.5k,1L,1.9k,194
186,Concentrix Corporation,3.6,31.6k,1.3L,2k,61
187,Amazon,3.9,31k,1.5L,5.8k,1.9k
188,iEnergizer,4.6,27.2k,24k,1.2k,96
189,Reliance Retail,3.9,27.1k,76.7k,1.9k,129
190,LTIMindtree,3.6,26k,1.9L,3.4k,546
191,TCS,3.3,1.1L,9.8L,11.9k,2.7k
192,Accenture,3.7,71.9k,6.5L,9.2k,37.9k
193,Wipro,3.6,63.8k,4.8L,6.7k,5.6k
194,Cognizant,3.6,60.2k,6L,6.3k,613
195,Capgemini,3.7,51.8k,4.8L,5.5k,2.1k
196,HDFC Bank,3.8,51.1k,1.5L,3k,331
197,Infosys,3.5,47.7k,5.2L,8.4k,2.5k
198,ICICI Bank,4.0,45.2k,1.5L,2.9k,15
199,HCLTech,3.4,44.9k,3.8L,4.5k,289
200,Tech Mahindra,3.4,42.6k,2.8L,4.5k,652
201,Genpact,3.6,41.2k,2.3L,3.8k,1.2k
202,Teleperformance,3.8,37k,96.1k,2.2k,1.3k
203,Jio,4.4,33.1k,62.5k,4.1k,2
204,Axis Bank,3.6,32.5k,1L,1.9k,194
205,Concentrix Corporation,3.6,31.6k,1.3L,2k,61
206,Amazon,3.9,31k,1.5L,5.8k,1.9k
207,iEnergizer,4.6,27.2k,24k,1.2k,96
208,Reliance Retail,3.9,27.1k,76.7k,1.9k,129
209,LTIMindtree,3.6,26k,1.9L,3.4k,546
210,IBM,3.9,25.4k,2.1L,2.6k,2k
211,HDB Financial Services,3.9,25.2k,49.9k,1.1k,207
212,HDB Financial Services,3.9,25.2k,49.9k,1.1k,207
213,Larsen & Toubro Limited,3.9,23.4k,74.7k,1.8k,182
214,HDB Financial Services,3.9,25.2k,49.9k,1.1k,207
215,Larsen & Toubro Limited,3.9,23.4k,74.7k,1.8k,182
216,Deloitte,3.7,22.6k,2.5L,3.3k,1.5k
217,HDB Financial Services,3.9,25.2k,49.9k,1.1k,207
218,Larsen & Toubro Limited,3.9,23.4k,74.7k,1.8k,182
219,Deloitte,3.7,22.6k,2.5L,3.3k,1.5k
220,Kotak Mahindra Bank,3.6,22k,86.8k,1.4k,171
221,HDB Financial Services,3.9,25.2k,49.9k,1.1k,207
222,Larsen & Toubro Limited,3.9,23.4k,74.7k,1.8k,182
223,Deloitte,3.7,22.6k,2.5L,3.3k,1.5k
224,Kotak Mahindra Bank,3.6,22k,86.8k,1.4k,171
225,Reliance Industries,4.0,19.9k,73k,1.6k,114
226,HDB Financial Services,3.9,25.2k,49.9k,1.1k,207
227,Larsen & Toubro Limited,3.9,23.4k,74.7k,1.8k,182
228,Deloitte,3.7,22.6k,2.5L,3.3k,1.5k
229,Kotak Mahindra Bank,3.6,22k,86.8k,1.4k,171
230,Reliance Industries,4.0,19.9k,73k,1.6k,114
231,Vodafone Idea,3.9,17.4k,49.8k,674,54
232,HDB Financial Services,3.9,25.2k,49.9k,1.1k,207
233,Larsen & Toubro Limited,3.9,23.4k,74.7k,1.8k,182
234,Deloitte,3.7,22.6k,2.5L,3.3k,1.5k
235,Kotak Mahindra Bank,3.6,22k,86.8k,1.4k,171
236,Reliance Industries,4.0,19.9k,73k,1.6k,114
237,Vodafone Idea,3.9,17.4k,49.8k,674,54
238,Bharti Airtel,3.8,16.9k,49.2k,1.1k,182
239,HDB Financial Services,3.9,25.2k,49.9k,1.1k,207
240,Larsen & Toubro Limited,3.9,23.4k,74.7k,1.8k,182
241,Deloitte,3.7,22.6k,2.5L,3.3k,1.5k
242,Kotak Mahindra Bank,3.6,22k,86.8k,1.4k,171
243,Reliance Industries,4.0,19.9k,73k,1.6k,114
244,Vodafone Idea,3.9,17.4k,49.8k,674,54
245,Bharti Airtel,3.8,16.9k,49.2k,1.1k,182
246,BYJU'S,3.2,16.4k,54.6k,2.1k,1
247,HDB Financial Services,3.9,25.2k,49.9k,1.1k,207
248,Larsen & Toubro Limited,3.9,23.4k,74.7k,1.8k,182
249,Deloitte,3.7,22.6k,2.5L,3.3k,1.5k
250,Kotak Mahindra Bank,3.6,22k,86.8k,1.4k,171
251,Reliance Industries,4.0,19.9k,73k,1.6k,114
252,Vodafone Idea,3.9,17.4k,49.8k,674,54
253,Bharti Airtel,3.8,16.9k,49.2k,1.1k,182
254,BYJU'S,3.2,16.4k,54.6k,2.1k,1
255,WNS,3.3,14.9k,69k,1.2k,130
256,HDB Financial Services,3.9,25.2k,49.9k,1.1k,207
257,Larsen & Toubro Limited,3.9,23.4k,74.7k,1.8k,182
258,Deloitte,3.7,22.6k,2.5L,3.3k,1.5k
259,Kotak Mahindra Bank,3.6,22k,86.8k,1.4k,171
260,Reliance Industries,4.0,19.9k,73k,1.6k,114
261,Vodafone Idea,3.9,17.4k,49.8k,674,54
262,Bharti Airtel,3.8,16.9k,49.2k,1.1k,182
263,BYJU'S,3.2,16.4k,54.6k,2.1k,1
264,WNS,3.3,14.9k,69k,1.2k,130
265,IDFC FIRST Bank,3.9,14.2k,49.4k,931,45
266,HDB Financial Services,3.9,25.2k,49.9k,1.1k,207
267,Larsen & Toubro Limited,3.9,23.4k,74.7k,1.8k,182
268,Deloitte,3.7,22.6k,2.5L,3.3k,1.5k
269,Kotak Mahindra Bank,3.6,22k,86.8k,1.4k,171
270,Reliance Industries,4.0,19.9k,73k,1.6k,114
271,Vodafone Idea,3.9,17.4k,49.8k,674,54
272,Bharti Airtel,3.8,16.9k,49.2k,1.1k,182
273,BYJU'S,3.2,16.4k,54.6k,2.1k,1
274,WNS,3.3,14.9k,69k,1.2k,130
275,IDFC FIRST Bank,3.9,14.2k,49.4k,931,45
276,Ernst & Young,3.4,14.1k,1.4L,1.3k,4.5k
277,HDB Financial Services,3.9,25.2k,49.9k,1.1k,207
278,Larsen & Toubro Limited,3.9,23.4k,74.7k,1.8k,182
279,Deloitte,3.7,22.6k,2.5L,3.3k,1.5k
280,Kotak Mahindra Bank,3.6,22k,86.8k,1.4k,171
281,Reliance Industries,4.0,19.9k,73k,1.6k,114
282,Vodafone Idea,3.9,17.4k,49.8k,674,54
283,Bharti Airtel,3.8,16.9k,49.2k,1.1k,182
284,BYJU'S,3.2,16.4k,54.6k,2.1k,1
285,WNS,3.3,14.9k,69k,1.2k,130
286,IDFC FIRST Bank,3.9,14.2k,49.4k,931,45
287,Ernst & Young,3.4,14.1k,1.4L,1.3k,4.5k
288,Tata Motors,4.1,14k,42.6k,1.2k,169
289,HDB Financial Services,3.9,25.2k,49.9k,1.1k,207
290,Larsen & Toubro Limited,3.9,23.4k,74.7k,1.8k,182
291,Deloitte,3.7,22.6k,2.5L,3.3k,1.5k
292,Kotak Mahindra Bank,3.6,22k,86.8k,1.4k,171
293,Reliance Industries,4.0,19.9k,73k,1.6k,114
294,Vodafone Idea,3.9,17.4k,49.8k,674,54
295,Bharti Airtel,3.8,16.9k,49.2k,1.1k,182
296,BYJU'S,3.2,16.4k,54.6k,2.1k,1
297,WNS,3.3,14.9k,69k,1.2k,130
298,IDFC FIRST Bank,3.9,14.2k,49.4k,931,45
299,Ernst & Young,3.4,14.1k,1.4L,1.3k,4.5k
300,Tata Motors,4.1,14k,42.6k,1.2k,169
301,IndusInd Bank,3.4,13.9k,52.2k,761,89
302,HDB Financial Services,3.9,25.2k,49.9k,1.1k,207
303,Larsen & Toubro Limited,3.9,23.4k,74.7k,1.8k,182
304,Deloitte,3.7,22.6k,2.5L,3.3k,1.5k
305,Kotak Mahindra Bank,3.6,22k,86.8k,1.4k,171
306,Reliance Industries,4.0,19.9k,73k,1.6k,114
307,Vodafone Idea,3.9,17.4k,49.8k,674,54
308,Bharti Airtel,3.8,16.9k,49.2k,1.1k,182
309,BYJU'S,3.2,16.4k,54.6k,2.1k,1
310,WNS,3.3,14.9k,69k,1.2k,130
311,IDFC FIRST Bank,3.9,14.2k,49.4k,931,45
312,Ernst & Young,3.4,14.1k,1.4L,1.3k,4.5k
313,Tata Motors,4.1,14k,42.6k,1.2k,169
314,IndusInd Bank,3.4,13.9k,52.2k,761,89
315,AU Small Finance Bank,3.9,13.9k,28.9k,682,78
316,HDB Financial Services,3.9,25.2k,49.9k,1.1k,207
317,Larsen & Toubro Limited,3.9,23.4k,74.7k,1.8k,182
318,Deloitte,3.7,22.6k,2.5L,3.3k,1.5k
319,Kotak Mahindra Bank,3.6,22k,86.8k,1.4k,171
320,Reliance Industries,4.0,19.9k,73k,1.6k,114
321,Vodafone Idea,3.9,17.4k,49.8k,674,54
322,Bharti Airtel,3.8,16.9k,49.2k,1.1k,182
323,BYJU'S,3.2,16.4k,54.6k,2.1k,1
324,WNS,3.3,14.9k,69k,1.2k,130
325,IDFC FIRST Bank,3.9,14.2k,49.4k,931,45
326,Ernst & Young,3.4,14.1k,1.4L,1.3k,4.5k
327,Tata Motors,4.1,14k,42.6k,1.2k,169
328,IndusInd Bank,3.4,13.9k,52.2k,761,89
329,AU Small Finance Bank,3.9,13.9k,28.9k,682,78
330,Bajaj Finserv,4.0,12.8k,30.2k,728,6
331,HDB Financial Services,3.9,25.2k,49.9k,1.1k,207
332,Larsen & Toubro Limited,3.9,23.4k,74.7k,1.8k,182
333,Deloitte,3.7,22.6k,2.5L,3.3k,1.5k
334,Kotak Mahindra Bank,3.6,22k,86.8k,1.4k,171
335,Reliance Industries,4.0,19.9k,73k,1.6k,114
336,Vodafone Idea,3.9,17.4k,49.8k,674,54
337,Bharti Airtel,3.8,16.9k,49.2k,1.1k,182
338,BYJU'S,3.2,16.4k,54.6k,2.1k,1
339,WNS,3.3,14.9k,69k,1.2k,130
340,IDFC FIRST Bank,3.9,14.2k,49.4k,931,45
341,Ernst & Young,3.4,14.1k,1.4L,1.3k,4.5k
342,Tata Motors,4.1,14k,42.6k,1.2k,169
343,IndusInd Bank,3.4,13.9k,52.2k,761,89
344,AU Small Finance Bank,3.9,13.9k,28.9k,682,78
345,Bajaj Finserv,4.0,12.8k,30.2k,728,6
346,Flipkart,3.9,12.7k,54.5k,1.6k,169
347,HDB Financial Services,3.9,25.2k,49.9k,1.1k,207
348,Larsen & Toubro Limited,3.9,23.4k,74.7k,1.8k,182
349,Deloitte,3.7,22.6k,2.5L,3.3k,1.5k
350,Kotak Mahindra Bank,3.6,22k,86.8k,1.4k,171
351,Reliance Industries,4.0,19.9k,73k,1.6k,114
352,Vodafone Idea,3.9,17.4k,49.8k,674,54
353,Bharti Airtel,3.8,16.9k,49.2k,1.1k,182
354,BYJU'S,3.2,16.4k,54.6k,2.1k,1
355,WNS,3.3,14.9k,69k,1.2k,130
356,IDFC FIRST Bank,3.9,14.2k,49.4k,931,45
357,Ernst & Young,3.4,14.1k,1.4L,1.3k,4.5k
358,Tata Motors,4.1,14k,42.6k,1.2k,169
359,IndusInd Bank,3.4,13.9k,52.2k,761,89
360,AU Small Finance Bank,3.9,13.9k,28.9k,682,78
361,Bajaj Finserv,4.0,12.8k,30.2k,728,6
362,Flipkart,3.9,12.7k,54.5k,1.6k,169
363,Muthoot FinCorp,4.5,12.7k,9.1k,2.3k,29
364,HDB Financial Services,3.9,25.2k,49.9k,1.1k,207
365,Larsen & Toubro Limited,3.9,23.4k,74.7k,1.8k,182
366,Deloitte,3.7,22.6k,2.5L,3.3k,1.5k
367,Kotak Mahindra Bank,3.6,22k,86.8k,1.4k,171
368,Reliance Industries,4.0,19.9k,73k,1.6k,114
369,Vodafone Idea,3.9,17.4k,49.8k,674,54
370,Bharti Airtel,3.8,16.9k,49.2k,1.1k,182
371,BYJU'S,3.2,16.4k,54.6k,2.1k,1
372,WNS,3.3,14.9k,69k,1.2k,130
373,IDFC FIRST Bank,3.9,14.2k,49.4k,931,45
374,Ernst & Young,3.4,14.1k,1.4L,1.3k,4.5k
375,Tata Motors,4.1,14k,42.6k,1.2k,169
376,IndusInd Bank,3.4,13.9k,52.2k,761,89
377,AU Small Finance Bank,3.9,13.9k,28.9k,682,78
378,Bajaj Finserv,4.0,12.8k,30.2k,728,6
379,Flipkart,3.9,12.7k,54.5k,1.6k,169
380,Muthoot FinCorp,4.5,12.7k,9.1k,2.3k,29
381,PwC,3.3,12.2k,1.2L,1.6k,1.1k
382,HDB Financial Services,3.9,25.2k,49.9k,1.1k,207
383,Larsen & Toubro Limited,3.9,23.4k,74.7k,1.8k,182
384,Deloitte,3.7,22.6k,2.5L,3.3k,1.5k
385,Kotak Mahindra Bank,3.6,22k,86.8k,1.4k,171
386,Reliance Industries,4.0,19.9k,73k,1.6k,114
387,Vodafone Idea,3.9,17.4k,49.8k,674,54
388,Bharti Airtel,3.8,16.9k,49.2k,1.1k,182
389,BYJU'S,3.2,16.4k,54.6k,2.1k,1
390,WNS,3.3,14.9k,69k,1.2k,130
391,IDFC FIRST Bank,3.9,14.2k,49.4k,931,45
392,Ernst & Young,3.4,14.1k,1.4L,1.3k,4.5k
393,Tata Motors,4.1,14k,42.6k,1.2k,169
394,IndusInd Bank,3.4,13.9k,52.2k,761,89
395,AU Small Finance Bank,3.9,13.9k,28.9k,682,78
396,Bajaj Finserv,4.0,12.8k,30.2k,728,6
397,Flipkart,3.9,12.7k,54.5k,1.6k,169
398,Muthoot FinCorp,4.5,12.7k,9.1k,2.3k,29
399,PwC,3.3,12.2k,1.2L,1.6k,1.1k
400,Mahindra & Mahindra,4.0,11.9k,39.9k,845,3
401,HDB Financial Services,3.9,25.2k,49.9k,1.1k,207
402,Larsen & Toubro Limited,3.9,23.4k,74.7k,1.8k,182
403,Deloitte,3.7,22.6k,2.5L,3.3k,1.5k
404,Kotak Mahindra Bank,3.6,22k,86.8k,1.4k,171
405,Reliance Industries,4.0,19.9k,73k,1.6k,114
406,Vodafone Idea,3.9,17.4k,49.8k,674,54
407,Bharti Airtel,3.8,16.9k,49.2k,1.1k,182
408,BYJU'S,3.2,16.4k,54.6k,2.1k,1
409,WNS,3.3,14.9k,69k,1.2k,130
410,IDFC FIRST Bank,3.9,14.2k,49.4k,931,45
411,Ernst & Young,3.4,14.1k,1.4L,1.3k,4.5k
412,Tata Motors,4.1,14k,42.6k,1.2k,169
413,IndusInd Bank,3.4,13.9k,52.2k,761,89
414,AU Small Finance Bank,3.9,13.9k,28.9k,682,78
415,Bajaj Finserv,4.0,12.8k,30.2k,728,6
416,Flipkart,3.9,12.7k,54.5k,1.6k,169
417,Muthoot FinCorp,4.5,12.7k,9.1k,2.3k,29
418,PwC,3.3,12.2k,1.2L,1.6k,1.1k
419,Mahindra & Mahindra,4.0,11.9k,39.9k,845,3
420,Infosys BPM,3.5,11.8k,73.2k,1.1k,67
421,DXC Technology,3.6,11.8k,73k,891,256
422,DXC Technology,3.6,11.8k,73k,891,256
423,HDFC Life,3.9,11.8k,32.7k,783,107
424,DXC Technology,3.6,11.8k,73k,891,256
425,HDFC Life,3.9,11.8k,32.7k,783,107
426,Bandhan Bank,3.7,10.8k,24.8k,742,41
427,DXC Technology,3.6,11.8k,73k,891,256
428,HDFC Life,3.9,11.8k,32.7k,783,107
429,Bandhan Bank,3.7,10.8k,24.8k,742,41
430,Digitide Solutions,3.5,10.2k,26.2k,563,330
431,DXC Technology,3.6,11.8k,73k,891,256
432,HDFC Life,3.9,11.8k,32.7k,783,107
433,Bandhan Bank,3.7,10.8k,24.8k,742,41
434,Digitide Solutions,3.5,10.2k,26.2k,563,330
435,Mphasis,3.3,10.1k,73.4k,921,74
436,DXC Technology,3.6,11.8k,73k,891,256
437,HDFC Life,3.9,11.8k,32.7k,783,107
438,Bandhan Bank,3.7,10.8k,24.8k,742,41
439,Digitide Solutions,3.5,10.2k,26.2k,563,330
440,Mphasis,3.3,10.1k,73.4k,921,74
441,Yes Bank,3.6,10k,43.1k,549,189
442,DXC Technology,3.6,11.8k,73k,891,256
443,HDFC Life,3.9,11.8k,32.7k,783,107
444,Bandhan Bank,3.7,10.8k,24.8k,742,41
445,Digitide Solutions,3.5,10.2k,26.2k,563,330
446,Mphasis,3.3,10.1k,73.4k,921,74
447,Yes Bank,3.6,10k,43.1k,549,189
448,Tata Steel,4.0,9.8k,34k,1.1k,--
449,DXC Technology,3.6,11.8k,73k,891,256
450,HDFC Life,3.9,11.8k,32.7k,783,107
451,Bandhan Bank,3.7,10.8k,24.8k,742,41
452,Digitide Solutions,3.5,10.2k,26.2k,563,330
453,Mphasis,3.3,10.1k,73.4k,921,74
454,Yes Bank,3.6,10k,43.1k,549,189
455,Tata Steel,4.0,9.8k,34k,1.1k,--
456,Quess,3.8,9.5k,30.9k,536,40
457,DXC Technology,3.6,11.8k,73k,891,256
458,HDFC Life,3.9,11.8k,32.7k,783,107
459,Bandhan Bank,3.7,10.8k,24.8k,742,41
460,Digitide Solutions,3.5,10.2k,26.2k,563,330
