,Company_Name,Ratings,Rating_Count,Salary,Interview,Jobs
8528,RBL FinServe,3.9,1.3k,3k,66,--
8529,Fabindia,3.8,1.3k,4k,60,2
8530,Grant Thornton,3.4,1.3k,11.1k,117,295
8531,Hatsun Agro Product,3.8,1.3k,4.6k,79,15
8532,Brillio,3.4,1.3k,10.3k,141,15
8533,GEP Worldwide,3.6,1.3k,9.1k,154,11
8534,Cinépolis,3.8,1.3k,2.9k,78,23
8535,Pantaloons,4.1,1.3k,2.8k,69,--
8536,Hindustan Construction Company,4.3,1.3k,3.2k,93,5
8537,VIBGYOR Group of Schools,3.5,1.3k,4.1k,97,245
8538,Bluestock ™,4.5,1.3k,57,385,--
8539,The Ramco Cements,4.0,1.3k,4.1k,92,--
8540,Shubham Housing Development Finance,3.9,1.3k,3k,52,6
8541,CreditAccess Grameen,3.9,1.3k,2.5k,53,15
8542,Nippon Paint India,4.0,1.3k,4k,77,--
8543,Atul,3.9,1.3k,5.2k,97,5
8544,RBL FinServe,3.9,1.3k,3k,66,--
8545,Fabindia,3.8,1.3k,4k,60,2
8546,Grant Thornton,3.4,1.3k,11.1k,117,295
8547,Hatsun Agro Product,3.8,1.3k,4.6k,79,15
8548,Brillio,3.4,1.3k,10.3k,141,15
8549,GEP Worldwide,3.6,1.3k,9.1k,154,11
8550,Cinépolis,3.8,1.3k,2.9k,78,23
8551,Pantaloons,4.1,1.3k,2.8k,69,--
8552,Hindustan Construction Company,4.3,1.3k,3.2k,93,5
8553,Punjab National Bank,3.8,1.3k,2.9k,59,--
8554,VIBGYOR Group of Schools,3.5,1.3k,4.1k,97,245
8555,Bluestock ™,4.5,1.3k,57,385,--
8556,The Ramco Cements,4.0,1.3k,4.1k,92,--
8557,Shubham Housing Development Finance,3.9,1.3k,3k,52,6
8558,CreditAccess Grameen,3.9,1.3k,2.5k,53,15
8559,Nippon Paint India,4.0,1.3k,4k,77,--
8560,Atul,3.9,1.3k,5.2k,97,5
8561,RBL FinServe,3.9,1.3k,3k,66,--
8562,Fabindia,3.8,1.3k,4k,60,2
8563,Grant Thornton,3.4,1.3k,11.1k,117,295
